DATE,PEN,START TIME,END TIME,FILE NAME,IGNORE
11/02/2022,108/109,7:42,9:14,MAH00337,00:00:00-10:00:00
11/02/2022,108/109,9:14,10:44,MAH00338,00:00:00-00:22:18/01:03:15-01:30:53
11/02/2022,108/109,10:44,12:15,MAH00339,00:00:00-00:11:59
11/02/2022,108/109,12:15,13:46,MAH00340,
11/02/2022,108/109,13:46,15:17,MAH00341,
11/02/2022,108/109,15:17,16:24,MAH00342,
11/02/2022,101,7:26,10:25,MAH00013,00:58:09-02:02:26/02:43:48-02:59:15
11/02/2022,101,10:25,13:24,MAH00014,00:00:00-00:00:36
11/02/2022,101,13:24,16:16,MAH00015,
11/02/2022,114/115,7:58,10:57,MAH00014,00:30:28-01:41:42/02:15:23-02:55:54
11/02/2022,114/115,10:57,13:56,MAH00015,
11/02/2022,114/115,13:56,16:25,MAH00016,
11/02/2022,120/121,7:52,9:23,MAH00447,00:42:32-01:30:44
11/02/2022,120/121,9:23,10:54,MAH00448,00:00:00-00:21:14/00:56:55-01:30:48
11/02/2022,120/121,10:54,12:25,MAH00449,00:00:00-00:06:14
11/02/2022,120/121,12:25,13:55,MAH00450,
11/02/2022,120/121,13:55,15:26,MAH00451,
11/02/2022,120/121,15:26,16:31,MAH00452,
24/02/2022,108/109,9:15,12:19,MAH00041,00:29:47-01:04:00
24/02/2022,108/109,12:19,15:18,MAH00042,
24/02/2022,108/109,15:18,17:36,MAH00043,
24/02/2022,120/121,9:38,11:14,MAH00343,00:00:00-00:00:06/00:10:23-00:53:09
24/02/2022,120/121,11:14,12:44,MAH00344,
24/02/2022,120/121,12:44,14:15,MAH00345,
24/02/2022,120/121,14:15,15:31,MAH00346,
24/02/2022,104/105,15:35,17:06,MAH00347,00:00:00-00:00:07
24/02/2022,104/105,17:06,17:41,MAH00348,
24/02/2022,114/115,9:34,12:39,MAH00016,00:08:28-00:51:14
24/02/2022,114/115,12:39,15:25,MAH00017,
24/02/2022,110/111,15:29,17:02,MAH00018,00:00:00-00:00:11
24/02/2022,101,9:21,10:56,MAH00453,00:00:00-00:00:06/00:31:12-01:07:44
24/02/2022,101,10:56,12:27,MAH00454,
24/02/2022,101,12:27,13:57,MAH00455,
24/02/2022,101,13:57,15:28,MAH00456,
24/02/2022,101,15:28,16:59,MAH00457,
24/02/2022,101,16:59,17:42,MAH00458,
30/05/2022,118,7:39,10:45,MAH00042,00:40:08-01:32:10
30/05/2022,118,10:45,13:44,MAH00043,
30/05/2022,118,13:44,16:36,MAH00044,
